match_number,date,kickoff_utc,stage,group,home_team,away_team,stadium,host_city,match_url
1,6/11/2026,2026-06-11T19:00:00Z,group-stage,A,Mexico,South Africa,Estadio Azteca,mexico-city,https://www.thestatsapi.com/world-cup/matches/mexico-vs-south-africa-2026-06-11
2,6/11/2026,2026-06-12T02:00:00Z,group-stage,A,Korea Republic,Czechia,Estadio Akron,guadalajara,https://www.thestatsapi.com/world-cup/matches/korea-republic-vs-czechia-2026-06-11
3,6/12/2026,2026-06-12T19:00:00Z,group-stage,B,Canada,Bosnia and Herzegovina,BMO Field,toronto,https://www.thestatsapi.com/world-cup/matches/canada-vs-bosnia-and-herzegovina-2026-06-12
4,6/12/2026,2026-06-13T01:00:00Z,group-stage,D,United States,Paraguay,SoFi Stadium,los-angeles,https://www.thestatsapi.com/world-cup/matches/united-states-vs-paraguay-2026-06-12
5,6/13/2026,2026-06-14T01:00:00Z,group-stage,C,Haiti,Scotland,Gillette Stadium,boston,https://www.thestatsapi.com/world-cup/matches/haiti-vs-scotland-2026-06-13
6,6/13/2026,2026-06-14T04:00:00Z,group-stage,D,Australia,Turkiye,BC Place,vancouver,https://www.thestatsapi.com/world-cup/matches/australia-vs-turkiye-2026-06-13
7,6/13/2026,2026-06-13T22:00:00Z,group-stage,C,Brazil,Morocco,MetLife Stadium,new-york,https://www.thestatsapi.com/world-cup/matches/brazil-vs-morocco-2026-06-13
8,6/13/2026,2026-06-13T19:00:00Z,group-stage,B,Qatar,Switzerland,Levi's Stadium,san-francisco,https://www.thestatsapi.com/world-cup/matches/qatar-vs-switzerland-2026-06-13
9,6/14/2026,2026-06-14T23:00:00Z,group-stage,E,Cote d'Ivoire,Ecuador,Lincoln Financial Field,philadelphia,https://www.thestatsapi.com/world-cup/matches/cote-divoire-vs-ecuador-2026-06-14
10,6/14/2026,2026-06-14T17:00:00Z,group-stage,E,Germany,Curacao,NRG Stadium,houston,https://www.thestatsapi.com/world-cup/matches/germany-vs-curacao-2026-06-14
11,6/14/2026,2026-06-14T20:00:00Z,group-stage,F,Netherlands,Japan,AT&T Stadium,dallas,https://www.thestatsapi.com/world-cup/matches/netherlands-vs-japan-2026-06-14
12,6/14/2026,2026-06-15T02:00:00Z,group-stage,F,Sweden,Tunisia,Estadio BBVA,monterrey,https://www.thestatsapi.com/world-cup/matches/sweden-vs-tunisia-2026-06-14
13,6/15/2026,2026-06-15T22:00:00Z,group-stage,H,Saudi Arabia,Uruguay,Hard Rock Stadium,miami,https://www.thestatsapi.com/world-cup/matches/saudi-arabia-vs-uruguay-2026-06-15
14,6/15/2026,2026-06-15T16:00:00Z,group-stage,H,Spain,Cabo Verde,Mercedes-Benz Stadium,atlanta,https://www.thestatsapi.com/world-cup/matches/spain-vs-cabo-verde-2026-06-15
15,6/15/2026,2026-06-16T01:00:00Z,group-stage,G,IR Iran,New Zealand,SoFi Stadium,los-angeles,https://www.thestatsapi.com/world-cup/matches/ir-iran-vs-new-zealand-2026-06-15
16,6/15/2026,2026-06-15T19:00:00Z,group-stage,G,Belgium,Egypt,Lumen Field,seattle,https://www.thestatsapi.com/world-cup/matches/belgium-vs-egypt-2026-06-15
17,6/16/2026,2026-06-16T19:00:00Z,group-stage,I,France,Senegal,MetLife Stadium,new-york,https://www.thestatsapi.com/world-cup/matches/france-vs-senegal-2026-06-16
18,6/16/2026,2026-06-16T22:00:00Z,group-stage,I,Iraq,Norway,Gillette Stadium,boston,https://www.thestatsapi.com/world-cup/matches/iraq-vs-norway-2026-06-16
19,6/16/2026,2026-06-17T01:00:00Z,group-stage,J,Argentina,Algeria,Arrowhead Stadium,kansas-city,https://www.thestatsapi.com/world-cup/matches/argentina-vs-algeria-2026-06-16
